Club|Last Name|First Name|Pos|Base Salary|Compensation
NYRB|Abang|Anatole|F|62500|62500
KC|Abdul-Salaam|Saad|D|63000|76750
CHI|Accam|David|F-M|700000|770937.5
DAL|Acosta|Kellyn|M|220000|240000
DC|Acosta|Luciano|M-F|327272.76|429272.76
RSL|Acosta|Danilo|M|62500|62500
NYRB|Adams|Tyler|M|65000|81041.67
VAN|Adekugbe|Samuel|D|70000|75000
POR|Adi|Fanendo|F|640000|712500
CLB|Afful|Harrison|D|275000|291666.67
NE|Agudelo|Juan|F|425000|452500
DC|Aguilar|Miguel|M|63000|63000
VAN|Aird|Fraser|D-M|51500|58625
ORL|Aja|Jose|D|192000|192000
DAL|Akindele|Tesho|F-M|80000|97500
SJ|Alashe|Fatai|M|74250|90500
PHI|Alberg|Roland|M|328000|377250
HOU|Alexander|Eric|M|165000|178750
SEA|Alfaro|Tony|D|51500|51500
NYCFC|Allen|RJ|D|63000|63000
NYRB|Allen|Brandon|F|62500|62500
RSL|Allen|Jordan|M|100000|110000
SEA|Alonso|Osvaldo|M|900000|941667
ORL|Alston|Kevin|D|130000|130000
TOR|Altidore|Jozy|F|4825000|4825000
KC|Alvarado|Ever|D|51500.04|75166.71
CHI|Alvarez|Arturo|M|115000|118264
DAL|Alves Dos Santos|Getterson|F|144000|174500
SJ|Amarikwa|Quincy|F|247000|260666.67
ORL|Ambrose|Mikey|D|62496|62496
SEA|Anderson|Oalex|F|51504|51504
POR|Andriuskevicius|Vytautas|D|184992|204992
HOU|Anibaba|Jalil|D|62500|62500
KC|Anor|Bernardo|M|132624|132624
KC|Appiah|Emmanuel|M|51499.92|51499.92
HOU|Arboleda|Yair|M|62499.96|62499.96
DC|Arnaud|Davy|M|212500|212500
POR|Arokoyo|Gbenga|D|90000|110600
CHI|Arshakyan|David|F|120000|142850
CLB|Ashe|Corey|D|95000|105500
POR|Asprilla|Dairon|M-F|76000|126000
RSL|Attinella|Jeff|GK|90000|95083.33
PHI|Ayuk|Eric|M|62500|62500
COL|Azira|Michael|M|63000|65826.88
NYRB|Baah|Gideon|D|230000|315500
TOR|Babouli|Mo|F|51500|51500
COL|Badji|Dominique|F|53472|53472
RSL|Baez Benitez|Pedro|F|62499.96|94324.96
NYCFC|Ballouchy|Mehdi|M|71662.5|86662.5
ORL|Baptista|Julio|M-F|90000|90000
POR|Barmby|Jack|M-F|72000|73800
NE|Barnes|Darrius|D|110000|116666.67
VAN|Barnes|Giles|F-M|700000|756250
PHI|Barnetta|Tranquillo|M|650000|709100
SJ|Barrera|Leandro|F|75000|75000
SJ|Barrett|Chad|F|90000|95500
DAL|Barrios|Michael|M|70000|70000
ORL|Barry|Hadji|F|62500|67062.5
CLB|Barson|Chad|D|63000|63000
HOU|Beasley|DaMarcus|D|750000|813333.33
RSL|Beckerman|Kyle|M|675000|750000
PHI|Bedoya|Alejandro|M|1100004|1166254
TOR|Beitashour|Steven|D|230000|244000
MTL|Bekker|Kyle|M|67941.5|94191.5
RSL|Beltran|Anthony|D|210000|220950
ORL|Bendik|Joe|GK|140000|147666.67
MTL|Bernardello|Hernan|M|216000|216000
SJ|Bernardez|Victor|D|210000|251600
COL|Berner|John|GK|63000|63000
MTL|Bernier|Patrice|M|95000|140000
KC|Besler|Matt|D|700000|733250
POR|Besler|Nick|M|62500|62500
NYRB|Bilyeu|Justin|D|51500|51500
SJ|Bingham|David|GK|145000|152750
DC|Birnbaum|Steven|D|86350|116350
MTL|Bitolo|Ambroise|D|100000|100000
PHI|Blake|Andre|GK|100000|138000
TOR|Bloom|Mark|D|94500|101848.89
LA|Boateng|Emmanuel|F|100000|100000
ORL|Boden|Luke|D|82500|82500
VAN|Bolanos|Christian|M|250000|253500
DAL|Bonner|Colin|F|51504|51504
TOR|Bono|Alex|GK|65000|85200
POR|Borchers|Nat|D|245000|255000
DC|Boswell|Bobby|D|260000|260000
TOR|Bradley|Michael|M|6000000|6500000
NYCFC|Brandt|Connor|M-D|53472|53472
NYCFC|Bravo|Federico|M|110000|110000
POR|Brett|Neco|M|51504|51504
NYCFC|Brilliant|Frederic|D|260000|299666.67
HOU|Brown|Calle|GK|51500|51500
HOU|Brown|Keyner|D|108000|108000
HOU|Bruin|Will|F|310000|311666.67
DC|Buescher|Julian|M|70000|84700
NE|Bunbury|Teal|F|205000|250000
COL|Burch|Marc|D|120000|120000
ATL|Burgos|Efrain|M|62508|62508
COL|Burling|Bobby|D|110000|116000
MTL|Bush|Evan|GK|117500|117500
VAN|Bustos|Marco|M|62500|67350
MTL|Cabrera|Victor|D|250000|250000
NE|Caldwell|Scott|M|100000|110000
CHI|Calistri|Joey|M|51500|51500
COL|Calvert|Caleb|F|75000|82500
MTL|Camara|Hassoun|D|180000|180000
CHI|Campbell|Jonathan|D|70000|78125
NE|Cande|Mamadu|D|75000|82287.5
VAN|Carducci|Marco|GK|63000|63000
ORL|Carrasco|Servando|M|95000|99625
PHI|Carroll|Brian|M|120000|128000
CLB|Casey|Conor|F|105000|105000
COL|Castillo|Dennis|D|51500.04|51500.04
DAL|Castillo|Fabian|M-F|155750|170750
SJ|Cato|Cordell|M|112500|114166.67
SJ|Ceren|Darwin|M|150000|199375
NYCFC|Chanot|Maxime|D|350004|383004
TOR|Chapman|Jay|M|75000|93500
POR|Chara|Diego|M|150000|172000
TOR|Cheyrou|Benoit|M|150000|159333.33
MTL|Choiniere|David|M|51500|51500
MTL|Ciman|Laurent|D|630000|661666.67
CLB|Clark|Steve|GK|220000|238333.33
HOU|Clark|Ricardo|M|319200|356700
CHI|Cocis|Razvan|M|160000|160000
KC|Coelho|Nuno|D|275000|412500
LA|Cole|Ashley|D|300000|327625
NYRB|Collin|Aurelien|D|500000|525000
SJ|Colvey|Kip|D|51499.92|51499.92
PHI|Conceicao|Anderson|D|150000|174166.67
CHI|Conner|Drew|M|62500|62500
TOR|Cooper|Armando|M|180000|193333.33
