Club|Last Name|First Name|Pos|Base Salary|Compensation
NYRB|Abang|Anatole|F|65625|65625
KC|Abdul-Salaam|Saad|D|96800|110550
CLB|Abu|Mohammed|M|165000|171250
CLB|Abubakar|Alhassan "Lalas"|D|65000.04|72500.04
CHI|Accam|David|F-M|750000|820937.5
DAL|Acosta|Kellyn|M|260000|280000
DC|Acosta|Luciano|M-F|500000|602000
RSL|Acosta|Danilo|M|65625|65625
NYRB|Adams|Tyler|M|75000|91041.67
SEA|Adekoya|Seyi|F|53004|53004
VAN|Adekugbe|Samuel|D|80000|85000
POR|Adi|Fanendo|F|1190004|1736254
COL|Adjei-Boateng|Bismark|M|300000|341246
SJ|Affolter|Francois|D|120000|154250
CLB|Afful|Harrison|D|280000|296666.67
NE|Agudelo|Juan|F|475000|502500
COL|Aigner|Stefan|M|425000.04|470885.46
ORL|Aja|Jose|D|216000|216000
DAL|Akindele|Tesho|F-M|95000|112500
SJ|Alashe|Fatai|M|98175|114425
PHI|Alberg|Roland|M|345000|394250
LA|Alessandrini|Romain|M|1669400.64|1999400.64
HOU|Alexander|Eric|M|190000|203750
SEA|Alfaro|Tony|D|54075|54075
MNUFC|Allen|Brandon|F|65625|65625
NYCFC|Allen|RJ|D|100000.08|101666.75
RSL|Allen|Jordan|M|178000|178000
ATL|Almiron|Miguel|M|1912500|2297000
SEA|Alonso|Osvaldo|M|1100000.04|1141667.04
TOR|Alseth|Oyvind|M-D|53004|53004
ORL|Alston|Kevin|D|135000|135000
TOR|Altidore|Jozy|F|4875000|4875000
CHI|Alvarez|Arturo|M|135000|142500
LAFC|Alvarez|Carlos|M|65004|65004
SJ|Amarikwa|Quincy|F|256500|270166.67
ATL|Ambrose|Mikey|D|65625|65625
POR|Andriuskevicius|Vytautas|D|222500|244375
NE|Angoua|Benjamin|D|600000|654333.33
HOU|Anibaba|Jalil|D|110004|110004
MNUFC|Anor|Bernardo|M|105000|105000
POR|Arboleda|Victor|M-F|65000.04|65000.04
LA|Arellano|Hugo|D|65000|72375
POR|Arokoyo|Gbenga|D|135000|155600
DC|Arriola|Paul|M|336000|350000
CHI|Arshakyan|David|F|156000|178850
ATL|Asad|Yamil|M|150000|150000
POR|Asprilla|Dairon|M-F|138000|138000
POR|Attinella|Jeff|GK|100000|105083.33
TOR|Aubrey|Brandon|D|75000|93750
NYCFC|Awuah|Kwame|D-M|53004|53004
PHI|Ayuk|Eric|M|65625|65625
COL|Azira|Michael|M|110000|116625
NYRB|Baah|Gideon|D|230000|315500
COL|Badji|Dominique|F|65000|65000
POR|Barmby|Jack|M-F|65004|65004
ORL|Barnes|Giles|F-M|725000|781250
SJ|Barrera|Leandro|F|100000|100000
RSL|Barrett|Chad|F|99000|105000
DAL|Barrios|Michael|M|200000.04|200000.04
ORL|Barry|Hadji|F|68750|73312.5
NYRB|Basuljevic|Arun|M|53004|53004
CHI|Bava|Jorge Rodrigo|GK|240000|267133.34
HOU|Beasley|DaMarcus|D|316008|351008
RSL|Beckerman|Kyle|M|750000|825000
PHI|Bedoya|Alejandro|M|1131000|1197250
TOR|Beitashour|Steven|D|250000|264000
MTL|Beland Goyette|Louis|M|53000|54250
KC|Belmar|Kharlton|F|65004|65004
RSL|Beltran|Anthony|D|220000|230950
ORL|Bendik|Joe|GK|165000|174083.4
MTL|Bernardello|Hernan|M|288000|288000
SJ|Bernardez|Victor|D|225000|266600
COL|Berner|John|GK|66150|66150
MTL|Bernier|Patrice|M|165000|165000
SJ|Bersano|Matt|GK|65004|65004
KC|Besler|Matt|D|725000|758250
RSL|Besler|Nick|M|53000.04|53000.04
NYRB|Bezecourt|Vincent|M|53004|53004
SJ|Bingham|David|GK|190000|197750
DC|Birnbaum|Steven|D|474996|499996
MTL|Bitolo Oyongo|Ambroise|D|100000|100000
PHI|Blake|Andre|GK|148500|186500
POR|Blanco|Sebastian|M|1000008|1075008
KC|Blessing|Latif|F|65004|74379
ATL|Bloom|Mark|D|99225|106573.89
LA|Boateng|Emmanuel|F|115000|115000
VAN|Bolanos|Christian|M|250000|253500
MTL|Boldor|Deian|D|324000|324000
TOR|Bono|Alex|GK|70000|90200
ATL|Boswell|Bobby|D|260000|260000
MNUFC|Boxall|Michael|D|225000|242333.33
TOR|Bradley|Michael|M|6000000|6500000
NYCFC|Brilliant|Frederic|D|280000|319666.67
CHI|Bronico|Brandt|M|65004|65004
DC|Brown|Deshorn|F|264996|337329.33
HOU|Brown|Calle|GK|65000|65000
SEA|Bruin|Will|F|325000|326666.67
DC|Buescher|Julian|M|80000|94700
NE|Bunbury|Teal|F|215000|260000
