Club|Last Name|First Name|Pos|Base Salary|Compensation
DAL|Acosta|Kellyn|M|55000|79000
VAN|Adekugbe|Samuel|D|50000|55000
POR|Adi|Fanendo|F|580800|593300
COL|Agbossoumonde|Gale|D|48825|55491.67
DAL|Akindele|Tesho|F|48500|48500
NE|Akpan|Andre|F|48500|51333.33
VAN|Alderson|Bryce|M|100000|115000
CHI|Alex||M|123750|133700
NY|Alexander|Eric|M|115000|128750
POR|Alhassan|Kalif|M|120000|120000
RSL|Allen|Jordan|M/F|80000|90000
SEA|Alonso|Osvaldo|M|400000|400000
NE|Alston|Kevin|D|125000|143333.33
COL|Alvarez|Carlos|M|73150|108150
ORL|Alvarez|Yordany|M|48500|56000
CHI|Amarikwa|Quincy|F|60000|60000
CHI|Anangono|Juan Luis|F|175000|175000
SEA|Anibaba|Jalil|D|119620|159620
CLB|Anor|Bernardo|M|48825|48825
SEA|Apam|Onyekachi|D|60000|60000
TOR|Aparicio|Manuel|M|36504|36504
HOU|Arena|Anthony|D|36504|36504
COL|Armstrong|David|M|36504|36504
DC|Arnaud|Davy|M|212500|212500
CLB|Arrieta|Jairo|F|135000|135000
HOU|Ashe|Corey|M|165000|174750
DC|Attakora|Nana|D|62500|65575.52
RSL|Attinella|Jeff|GK|48825|48825
CHV|Avila|Eric|M|115000|135000
SEA|Azira|Michael|D|48504|51147.54
CLB|Baiden|Kingsley|M|36504|36504
RSL|Balchan|Rich|D|48500|48500
VAN|Ballouchy|Mehdi|M|65000|65000
SJ|Barklage|Brandon|M|65000|68415.21
HOU|Barnes|Giles|M|230000|241158.33
NE|Barnes|Darrius|D|80000|86666.67
CHV|Barrera|Leandro|F|50000|50000
SEA|Barrett|Chad|F|80000|85000
CLB|Barson|Chad|D|48825|48825
HOU|Beasley|DaMarcus|D|750000|779166.67
RSL|Beckerman|Kyle|M|350000|378750
CLB|Bedell|Adam|F|36504|36504
VAN|Beitashour|Steven|D|170000|177166.67
TOR|Bekker|Kyle|M|51150|77400
MTL|Beland-Goyette|Louis|M|36504|36504
RSL|Beltran|Anthony|D|186450|186450
TOR|Bendik|Joe|GK|140000|147375
NE|Bengtson|Jerry|F|144000|144000
DAL|Benitez|Jair|D|97875|97875
SJ|Bernardez|Victor|D|100008|141608
COL|Berner|John|GK|36500|36500
MTL|Bernier|Patrice|F-M|165000|205000
PHI|Berry|Austin|D|86994|101994
KC|Besler|Matt|D|600000|633250
KC|Bieler|Claudio|F|225000|225000
SJ|Bingham|David|GK|85910|130285
DC|Birnbaum|Steven|D|55000|85000
MTL|Bissue|James|F|48500|48500
NY|Bitolo|Ambroise|D|36500|36500
PHI|Blake|Andre|GK|75000|113000
TOR|Bloom|Mark|D|48825|48825
CHV|Bocanegra|Carlos|D|300000|333333.33
CHV|Bolanos|Luis|F|48504|48504
PHI|Bone|Corben|M|48825|51325
HOU|Boniek Garcia|Oscar|F|199992|258742
RSL|Borchers|Nat|D|225000|236968.75
